rank,score,viscousDampingNsPerM,coulombFrictionN,thermalRelaxationTimeS,thermalVolumeExponent,timingRmseMs,amplitudeRmseKpa,visibleDurationRmseMs,run1ReleaseAmplitudeMm,run1VisibleDurationS,run2ReleaseAmplitudeMm,run2VisibleDurationS,run3ReleaseAmplitudeMm,run3VisibleDurationS,run4ReleaseAmplitudeMm,run4VisibleDurationS
13,2.7472462306559455,1.1,0,0.075,1,2.255910700611415,0.9199649784967713,16.132265804901678,6.5,0.248,5.75,0.24,4.25,0.213,3.5,0.215
14,2.75703432628736,0.9,0.0025,0.05,1,2.1689196513961626,0.9676051715497231,16.62077013859466,6,0.248,5.5,0.253,4,0.213,3.5,0.216
15,2.75899208842426,0.9,0.005,0.05,1,2.1689196513961626,0.9625167489781633,16.62828914831589,6,0.248,5.5,0.24,4,0.213,3.5,0.216
16,2.7674115647986444,1.1,0.0025,0.075,1,2.187139120764276,0.9150520411950561,16.99264546796643,6.25,0.23299999999999998,5.75,0.24,4.25,0.213,3.5,0.216
17,2.772971946445631,0.9,0,0.05,1,2.1753138237942196,0.97439461810648,16.62077013859466,6,0.264,5.5,0.254,4,0.213,3.5,0.216
18,2.777319430073331,1.1,0.01,0.075,1,2.255910700611415,1.0152960646536051,9.937303457175897,6.5,0.23299999999999998,5.75,0.22599999999999998,4.25,0.201,3.25,0.19399999999999998
19,2.7883781200366884,1.2,0,0.1,1,2.187139120764276,0.9245755551954399,16.99264546796643,6.5,0.23299999999999998,6,0.24,4.5,0.213,3.5,0.216
20,2.818354838848414,1.2,0.005,0.05,1,2.1689196513961626,0.8854939537481568,18.506755523321736,7.5,0.21700000000000003,6.5,0.212,4.75,0.17600000000000002,4,0.183
21,2.819726855146989,1.3,0,0.075,1,2.187139120764276,0.8206951548781913,19.306734576307807,7,0.21700000000000003,6,0.212,4.75,0.188,3.75,0.19399999999999998
22,2.8286260898539357,1.1,0.005,0.075,1,2.255910700611415,1.0435384062756885,11.586630226256466,6.25,0.23299999999999998,6,0.239,4.25,0.201,3.25,0.205
23,2.8319155326503784,1.2,0.0025,0.075,1,2.255910700611415,0.9004687085034627,13.901438774457846,7.25,0.23199999999999998,6,0.22599999999999998,4.5,0.201,3.75,0.205
24,2.8450993500226724,1.2,0.005,0.075,1,2.187139120764276,0.9226203922948969,15.049916943292398,6.75,0.21700000000000003,6.25,0.22499999999999998,4.75,0.201,3.5,0.19399999999999998
25,2.847650153684112,1.2,0.01,0.075,1,2.187139120764276,0.8441204755776146,19.685019685029516,6.75,0.21700000000000003,6,0.211,4.5,0.188,3.75,0.19399999999999998
26,2.865051684619411,1.3,0.005,0.15,1,2.2320372380384312,0.8974324895278049,17.59261208575917,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.205
27,2.8664423776320946,1.3,0,0.1,1,2.187139120764276,0.8772028611358157,17.811513130556865,6.75,0.21700000000000003,6.25,0.22499999999999998,4.5,0.201,3.75,0.205
28,2.8665405300393614,1.1,0,0.05,0.5,2.255910700611415,0.9015529608113663,18.459414941974735,6.75,0.23299999999999998,5.75,0.22599999999999998,4.5,0.201,3.5,0.216
29,2.869423579110876,1.2,0.0025,0.1,1,2.187139120764276,1.0107835244667047,14.317821063276353,6.5,0.23199999999999998,5.75,0.22499999999999998,4.5,0.213,3.25,0.205
30,2.8725283082321846,1,0.01,0.075,1,2.255910700611415,1.0069455075570148,16.65082580534671,6.25,0.248,5.5,0.239,4.25,0.213,3.5,0.216
31,2.8742579307997085,1.3,0.0025,0.1,1,2.187139120764276,0.9571180222025442,14.790199457749027,6.75,0.21700000000000003,6.5,0.22599999999999998,4.75,0.201,3.5,0.19399999999999998
32,2.8793499354518497,1.1,0.005,0.05,0.5,2.1934801825763794,0.8982844013395018,17.811513130556865,6.75,0.21700000000000003,6,0.22499999999999998,4.5,0.201,3.5,0.205
33,2.8816777047766693,1.2,0.005,0.1,1,2.255910700611415,1.0155063636448451,14.04457190518814,6.75,0.23299999999999998,5.75,0.22499999999999998,4.5,0.201,3.25,0.205
34,2.8853520751612463,1.3,0.005,0.1,1,2.187139120764276,0.8864082219945493,19.306734576307807,7,0.21700000000000003,6,0.212,4.5,0.188,3.5,0.19399999999999998
35,2.8866968704694416,1.1,0.005,0.1,1,2.255910700611415,1.0388961544736908,16.65082580534671,6.5,0.248,5.5,0.239,4.25,0.213,3.25,0.216
36,2.8905553454324937,1.3,0,0.15,1,2.187139120764276,0.9291589669353613,18.459414941974735,7,0.23299999999999998,5.75,0.22599999999999998,4.25,0.201,3.5,0.216
